Fecha: 2024-04-22 06:26:00 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Traslado, Registro: Anulo Traslado Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 06:32:21 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Traslado, Registro: Anulo Traslado Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 06:47:54 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Traslado, Registro: Anulo Traslado Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 06:48:14 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Traslado, Registro: Anulo Traslado Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 06:48:24 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Orden de Egreso, Registro: Anulo Orden Egreso Id: 2,IP:127.0.0.1
Fecha: 2024-04-22 06:54:21 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Traslado, Registro: Anulo Traslado Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 07:54:12 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 19:54:12,IP:127.0.0.1
Fecha: 2024-04-22 07:54:14 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 19:54:14,IP:127.0.0.1
Fecha: 2024-04-22 07:54:32 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 19:54:32,IP:127.0.0.1
Fecha: 2024-04-22 07:57:49 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 19:57:49,IP:127.0.0.1
Fecha: 2024-04-22 08:00:09 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:00:09,IP:127.0.0.1
Fecha: 2024-04-22 08:02:30 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:02:30,IP:127.0.0.1
Fecha: 2024-04-22 08:05:20 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:05:20,IP:127.0.0.1
Fecha: 2024-04-22 08:05:46 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:05:46,IP:127.0.0.1
Fecha: 2024-04-22 08:08:18 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Anular, Opcion: Orden de Egreso, Registro: Anulo Orden Egreso Id: 1,IP:127.0.0.1
Fecha: 2024-04-22 08:08:50 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:08:50,IP:127.0.0.1
Fecha: 2024-04-22 08:09:00 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:09:00,IP:127.0.0.1
Fecha: 2024-04-22 08:09:03 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:09:03,IP:127.0.0.1
Fecha: 2024-04-22 08:09:08 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:09:08,IP:127.0.0.1
Fecha: 2024-04-22 08:11:23 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:11:23,IP:127.0.0.1
Fecha: 2024-04-22 08:11:26 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:11:26,IP:127.0.0.1
Fecha: 2024-04-22 08:11:30 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:11:30,IP:127.0.0.1
Fecha: 2024-04-22 08:11:36 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:11:36,IP:127.0.0.1
Fecha: 2024-04-22 08:28:04 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:28:04,IP:127.0.0.1
Fecha: 2024-04-22 08:28:26 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:28:26,IP:127.0.0.1
Fecha: 2024-04-22 08:28:33 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:28:33,IP:127.0.0.1
Fecha: 2024-04-22 08:29:52 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:29:52,IP:127.0.0.1
Fecha: 2024-04-22 08:30:06 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:30:06,IP:127.0.0.1
Fecha: 2024-04-22 08:31:04 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:31:04,IP:127.0.0.1
Fecha: 2024-04-22 08:31:08 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:31:08,IP:127.0.0.1
Fecha: 2024-04-22 08:31:11 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:31:11,IP:127.0.0.1
Fecha: 2024-04-22 08:32:31 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:32:31,IP:127.0.0.1
Fecha: 2024-04-22 08:38:28 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:38:28,IP:127.0.0.1
Fecha: 2024-04-22 08:52:36 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:52:36,IP:127.0.0.1
Fecha: 2024-04-22 08:52:59 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:52:59,IP:127.0.0.1
Fecha: 2024-04-22 08:54:52 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:54:52,IP:127.0.0.1
Fecha: 2024-04-22 08:56:42 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:56:42,IP:127.0.0.1
Fecha: 2024-04-22 08:58:37 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:58:37,IP:127.0.0.1
Fecha: 2024-04-22 08:58:42 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:58:42,IP:127.0.0.1
Fecha: 2024-04-22 08:58:47 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2024-04-22 20:58:47,IP:127.0.0.1
