[2025-05-04 07:42:28] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM far_subgrupos WHERE id_subgrupo = 33
[2025-05-05 14:57:17] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM ctb_causa_retencion WHERE id_causa_retencion = 156
[2025-05-05 15:25:03] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM `pto_cdp_detalle` WHERE `id_pto_cdp_det` = 1640
[2025-05-05 15:51:54] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM ctb_causa_retencion WHERE id_causa_retencion = 154
[2025-05-09 10:57:14] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 7 AND `id_ctb_libaux` = 3806
[2025-05-14 18:26:44] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `pto_rad` WHERE `id_pto_rad` = 4
[2025-05-15 12:06:43] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `pto_rad` WHERE `id_pto_rad` = 5
[2025-05-19 16:59:11] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3081
[2025-05-19 17:02:33] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3082
[2025-05-19 17:05:07] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3083
[2025-05-19 17:07:22] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3084
[2025-05-19 17:14:32] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3085
[2025-05-19 17:30:49] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 3087
[2025-05-20 10:25:04] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_libaux` WHERE `id_ctb_libaux` = 11269
[2025-05-20 14:41:59] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3091
[2025-05-20 14:52:47] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3092
[2025-05-20 16:15:21] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3093
[2025-05-20 16:20:02] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3094
[2025-05-20 16:20:05] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3095
[2025-05-26 09:19:05] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_factura` WHERE `id_cta_factura` = 1268
[2025-05-26 11:38:01] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_factura` WHERE `id_cta_factura` = 1269
[2025-05-28 16:38:39] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM tes_detalle_pago WHERE id_detalle_pago = 591
[2025-05-29 17:26:15] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM tes_detalle_pago WHERE id_detalle_pago = 592
[2025-05-29 17:26:22] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3104
[2025-05-29 17:35:24] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3105
