[2025-06-04 18:37:52] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3126
[2025-06-04 18:50:44] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3127
[2025-06-04 18:50:47] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3128
[2025-06-04 19:22:38] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3131
[2025-06-04 19:22:42] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3130
[2025-06-04 20:07:08] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3132
[2025-06-04 20:07:48] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3134
[2025-06-04 20:07:52] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3133
[2025-06-04 20:11:17] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3135
[2025-06-05 09:45:37] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:46:23] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:46:54] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:47:00] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:47:02] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:47:04] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-05 09:48:39] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 8 AND `id_ctb_libaux` = 10538
[2025-06-17 17:29:57] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3144
[2025-06-17 17:30:00] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3143
[2025-06-17 17:35:47] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_referencia` WHERE `id_referencia` = 5
[2025-06-17 17:35:51] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_referencia` WHERE `id_referencia` = 4
[2025-06-17 17:38:19] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_referencia` WHERE `id_referencia` = 2
[2025-06-17 19:19:30] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3071
[2025-06-17 19:19:33] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3112
[2025-06-17 19:54:43] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3113
[2025-06-17 19:58:00] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3154
[2025-06-17 19:58:06] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3147
[2025-06-17 19:58:11] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3148
[2025-06-17 19:58:13] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3149
[2025-06-17 19:58:16] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3150
[2025-06-17 19:58:19] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3151
[2025-06-17 19:58:22] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3152
[2025-06-17 19:58:24] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 3153
