[2025-12-09 11:37:55 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:37:55
[2025-12-09 11:38:04 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:38:04
[2025-12-09 11:40:35 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:40:35
[2025-12-09 11:43:04 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:43:04
[2025-12-09 11:44:33 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:44:33
[2025-12-09 11:45:33 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:45:33
[2025-12-09 11:45:58 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:45:58
[2025-12-09 11:46:18 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:46:18
[2025-12-09 11:46:38 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:46:38
[2025-12-09 11:55:18 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Anular, Opcion: Traslado SPSR , Registro: Anulo Traslado SPSR Id: 5
[2025-12-09 11:56:42 PM] Usuario: 365-ADMINN ADMINP, IP: 127.0.0.1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-09 23:56:42
[2025-12-10 11:37:24 PM] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 4
[2025-12-11 12:14:26 AM] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 4
[2025-12-12 11:06:28 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 6
[2025-12-12 11:08:01 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 7
[2025-12-15 02:27:49 PM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-15 14:27:49
[2025-12-15 02:55:07 PM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 8
[2025-12-15 03:00:07 PM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 10
[2025-12-16 01:17:19 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-16 01:17:19
[2025-12-16 01:17:27 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-16 01:17:27
[2025-12-16 01:23:43 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-16 01:23:43
[2025-12-16 01:31:27 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-16 01:31:27
[2025-12-16 02:01:46 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Actualizar, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-12-16 02:01:46
[2025-12-16 02:07:34 AM] Usuario: 1-ADMINN ADMINP, IP: ::1, Accion: Enviar, Opcion: Traslado SPSR , Registro: Enviado Traslado SPSR Id: 11
